sessionId,sessionStart,sessionEnd,countId,time,count,location,activities
1072,"2016-03-01 08:18:07","2016-03-01 08:24:47",35805,"2016-03-01 08:23:27",1,"Bookmark (30)","[79]"
1072,"2016-03-01 08:18:07","2016-03-01 08:24:47",35806,"2016-03-01 08:23:28",1,"Bookmark (30)","[79]"
1072,"2016-03-01 08:18:07","2016-03-01 08:24:47",35807,"2016-03-01 08:23:29",1,"Bookmark (30)","[79]"
1072,"2016-03-01 08:18:07","2016-03-01 08:24:47",35808,"2016-03-01 08:24:44",1,"Public/StudyRooms (26)","[79]"
1072,"2016-03-01 08:18:07","2016-03-01 08:24:47",35809,"2016-03-01 08:24:45",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35820,"2016-03-01 10:10:29",1,"HelpHub (25)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35821,"2016-03-01 10:10:31",1,"HelpHub (25)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35822,"2016-03-01 10:15:03",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35823,"2016-03-01 10:15:08",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35824,"2016-03-01 10:15:09",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35825,"2016-03-01 10:15:11",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35826,"2016-03-01 10:15:14",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35827,"2016-03-01 10:15:15",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35828,"2016-03-01 10:15:17",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35829,"2016-03-01 10:15:19",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35830,"2016-03-01 10:15:20",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35831,"2016-03-01 10:15:21",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35832,"2016-03-01 10:15:22",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35833,"2016-03-01 10:15:24",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35834,"2016-03-01 10:15:25",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35835,"2016-03-01 10:15:26",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35836,"2016-03-01 10:15:28",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35837,"2016-03-01 10:15:29",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35838,"2016-03-01 10:15:30",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35839,"2016-03-01 10:15:32",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35840,"2016-03-01 10:15:33",1,"Public/StudyRooms (26)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35841,"2016-03-01 10:15:34",1,"Public/StudyRooms (26)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35842,"2016-03-01 10:15:35",1,"Public/StudyRooms (26)","[78]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35843,"2016-03-01 10:15:37",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35844,"2016-03-01 10:15:39",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35845,"2016-03-01 10:15:42",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35846,"2016-03-01 10:15:43",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35847,"2016-03-01 10:15:45",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35848,"2016-03-01 10:17:18",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35849,"2016-03-01 10:17:21",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35850,"2016-03-01 10:17:23",1,"Public/StudyRooms (26)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35851,"2016-03-01 10:18:31",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35852,"2016-03-01 10:18:32",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35853,"2016-03-01 10:18:34",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35854,"2016-03-01 10:18:35",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35855,"2016-03-01 10:18:36",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35856,"2016-03-01 10:18:37",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35857,"2016-03-01 10:18:38",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35858,"2016-03-01 10:18:39",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35859,"2016-03-01 10:18:40",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35860,"2016-03-01 10:18:41",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35861,"2016-03-01 10:18:42",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35862,"2016-03-01 10:18:43",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35863,"2016-03-01 10:18:43",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35864,"2016-03-01 10:18:44",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35865,"2016-03-01 10:18:44",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35866,"2016-03-01 10:18:45",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35867,"2016-03-01 10:18:46",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35868,"2016-03-01 10:18:47",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35869,"2016-03-01 10:18:47",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35870,"2016-03-01 10:18:48",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35871,"2016-03-01 10:18:49",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35872,"2016-03-01 10:18:51",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35873,"2016-03-01 10:18:51",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35874,"2016-03-01 10:18:52",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35875,"2016-03-01 10:18:53",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35876,"2016-03-01 10:18:53",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35877,"2016-03-01 10:18:54",1,"Bookmark (30)","[79]"
1077,"2016-03-01 10:10:28","2016-03-01 10:20:42",35878,"2016-03-01 10:18:55",1,"Bookmark (30)","[79]"
